Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat
1988,"Calgary, Canada",1500m Men,Eric Flaim,USA,SILVER,1:52.12,1:52.12
1988,"Calgary, Canada",1500m Men,Michael Hadschieff,AUT,BRONZE,1:52.31,1:52.31
1988,"Calgary, Canada",5000m Men,Tomas Gustafsson,SWE,GOLD,6:44.63,6:44.63
1988,"Calgary, Canada",5000m Men,Leo Visser,NED,SILVER,6:44.98,6:44.98
1988,"Calgary, Canada",5000m Men,Gerard Kemkers,NED,BRONZE,6:45.92,6:45.92
1988,"Calgary, Canada",10000m Men,Tomas Gustafsson,SWE,GOLD,13:48.20,13:48.20
1988,"Calgary, Canada",10000m Men,Michael Hadschieff,AUT,SILVER,13:56.11,13:56.11
1988,"Calgary, Canada",10000m Men,Leo Visser,NED,BRONZE,14:00.55,14:00.55
1988,"Calgary, Canada",500m Women,Bonnie Blair,USA,GOLD,39.1,00:39.10
1988,"Calgary, Canada",500m Women,Christa Rothenburger,GDR,SILVER,39.12,00:39.12
1988,"Calgary, Canada",500m Women,Karin Enke,GDR,BRONZE,39.24,00:39.24
1988,"Calgary, Canada",1000m Women,Christa Rothenburger,GDR,GOLD,1:17.65,1:17.65
1988,"Calgary, Canada",1000m Women,Karin Enke,GDR,SILVER,1:17.70,1:17.70
1988,"Calgary, Canada",1000m Women,Bonnie Blair,USA,BRONZE,1:18.31,1:18.31
1988,"Calgary, Canada",1500m Women,Yvonne van Gennip,NED,GOLD,2:00.68,2:00.68
1988,"Calgary, Canada",1500m Women,Karin Enke,GDR,SILVER,2:00.82,2:00.82
1988,"Calgary, Canada",1500m Women,Andrea Schöne,GDR,BRONZE,2:01.49,2:01.49
1988,"Calgary, Canada",3000m Women,Yvonne van Gennip,NED,GOLD,4:11.94,4:11.94
1988,"Calgary, Canada",3000m Women,Andrea Schöne,GDR,SILVER,4:12.09,4:12.09
1988,"Calgary, Canada",3000m Women,Gabi Zange-Schönbrunn,GDR,BRONZE,4:16.92,4:16.92
1988,"Calgary, Canada",5000m Women,Yvonne van Gennip,NED,GOLD,7:14.13,7:14.13
1988,"Calgary, Canada",5000m Women,Andrea Schöne,GDR,SILVER,7:17.12,7:17.12
1988,"Calgary, Canada",5000m Women,Gabi Zange-Schönbrunn,GDR,BRONZE,7:21.61,7:21.61
1992,"Albertville, France",500m Men,Uwe-Jens Mey,GER,GOLD,37.14,00:37.14
1992,"Albertville, France",500m Men,Toshiyuki Kuroiwa,JPN,SILVER,37.18,00:37.18
1992,"Albertville, France",500m Men,Junichi Inoue,JPN,BRONZE,37.26,00:37.26
1992,"Albertville, France",1000m Men,Olaf Zinke,GER,GOLD,1:14.85,1:14.85
1992,"Albertville, France",1000m Men,Yoon-Man Kim,KOR,SILVER,1:14.86,1:14.86
1992,"Albertville, France",1000m Men,Yukinori Miyabe,JPN,BRONZE,1:14.92,1:14.92
1992,"Albertville, France",1500m Men,Johann Koss,NOR,GOLD,1:54.81,1:54.81
1992,"Albertville, France",1500m Men,Ådne Søndrål,NOR,SILVER,1:54.85,1:54.85
1992,"Albertville, France",1500m Men,Leo Visser,NED,BRONZE,1:54.90,1:54.90
1992,"Albertville, France",5000m Men,Geir Karlstad,NOR,GOLD,6:59.97,6:59.97
1992,"Albertville, France",5000m Men,Falko Zandstra,NED,SILVER,7:02.28,7:02.28
1992,"Albertville, France",5000m Men,Leo Visser,NED,BRONZE,7:04.96,7:04.96
1992,"Albertville, France",10000m Men,Bart Veldkamp,NED,GOLD,14:12.12,14:12.12
1992,"Albertville, France",10000m Men,Johann Koss,NOR,SILVER,14:14.58,14:14.58
1992,"Albertville, France",10000m Men,Geir Karlstad,NOR,BRONZE,14:18.13,14:18.13
1992,"Albertville, France",500m Women,Bonnie Blair,USA,GOLD,40.33,00:40.33
1992,"Albertville, France",500m Women,Qiaobo Ye,CHN,SILVER,40.51,00:40.51
1992,"Albertville, France",500m Women,Christa Rothenburger,GER,BRONZE,40.57,00:40.57
1992,"Albertville, France",1000m Women,Bonnie Blair,USA,GOLD,1:21.90,1:21.90
1992,"Albertville, France",1000m Women,Qiaobo Ye,CHN,SILVER,1:21.92,1:21.92
1992,"Albertville, France",1000m Women,Monique Garbrecht,GER,BRONZE,1:22.10,1:22.10
1992,"Albertville, France",1500m Women,Jacqueline Börner,GER,GOLD,2:05.87,2:05.87
1992,"Albertville, France",1500m Women,Gunda Niemann,GER,SILVER,2:05.92,2:05.92
1992,"Albertville, France",1500m Women,Seiko Hashimoto,JPN,BRONZE,2:06.88,2:06.88
1992,"Albertville, France",3000m Women,Gunda Niemann,GER,GOLD,4:19.90,4:19.90
1992,"Albertville, France",3000m Women,Heike Warnicke,GER,SILVER,4:22.88,4:22.88
1992,"Albertville, France",3000m Women,Emese Hunyady,AUT,BRONZE,4:24.64,4:24.64
1992,"Albertville, France",5000m Women,Gunda Niemann,GER,GOLD,7:31.57,7:31.57
1992,"Albertville, France",5000m Women,Heike Warnicke,GER,SILVER,7:37.59,7:37.59
1992,"Albertville, France",5000m Women,Claudia Pechstein,GER,BRONZE,7:39.80,7:39.80
1992,"Albertville, France",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,1:30.76,1:30.76
1992,"Albertville, France",1000m Short Track Men,Frédéric Blackburn,CAN,SILVER,1:31.11,1:31.11
1992,"Albertville, France",1000m Short Track Men,Joon-Ho Lee,KOR,BRONZE,1:31.16,1:31.16
1992,"Albertville, France",5000m Short Track Relay Men,Joon-Ho Lee,KOR,GOLD,7:14.02,7:14.02
1992,"Albertville, France",5000m Short Track Relay Men,Ji-Su Mo,KOR,GOLD,7:14.02,7:14.02
1992,"Albertville, France",5000m Short Track Relay Men,Ki-Hoon Kim,KOR,GOLD,7:14.02,7:14.02
1992,"Albertville, France",5000m Short Track Relay Men,Jae-Kun Song,KOR,GOLD,7:14.02,7:14.02
1992,"Albertville, France",5000m Short Track Relay Men,Sylvain Gagnon,CAN,SILVER,7:14.06,7:14.06
1992,"Albertville, France",5000m Short Track Relay Men,Marck Lackie,CAN,SILVER,7:14.06,7:14.06
1992,"Albertville, France",5000m Short Track Relay Men,Frédéric Blackburn,CAN,SILVER,7:14.06,7:14.06
1992,"Albertville, France",5000m Short Track Relay Men,Michel Daignault,CAN,SILVER,7:14.06,7:14.06
1992,"Albertville, France",5000m Short Track Relay Men,Yuichi Akasaka,JPN,BRONZE,7:18.18,7:18.18
1992,"Albertville, France",5000m Short Track Relay Men,Tatsuyoshi Ishihara,JPN,BRONZE,7:18.18,7:18.18
1992,"Albertville, France",5000m Short Track Relay Men,Toshinobu Kawai,JPN,BRONZE,7:18.18,7:18.18
1992,"Albertville, France",5000m Short Track Relay Men,Tsutomu Kawasaki,JPN,BRONZE,7:18.18,7:18.18
1992,"Albertville, France",500m Short Track Women,Cathy Turner,USA,GOLD,47.04,00:47.04
1992,"Albertville, France",500m Short Track Women,Yan Li,CHN,SILVER,47.08,00:47.08
1992,"Albertville, France",500m Short Track Women,Ok-Sil Hwang,PRK,BRONZE,47.23,00:47.23
1992,"Albertville, France",3000m Short Track Relay Women,Angela Cutrone,CAN,GOLD,4:36.62,4:36.62
1992,"Albertville, France",3000m Short Track Relay Women,Sylvie Daigle,CAN,GOLD,4:36.62,4:36.62
1992,"Albertville, France",3000m Short Track Relay Women,Nathalie Lambert,CAN,GOLD,4:36.62,4:36.62
1992,"Albertville, France",3000m Short Track Relay Women,Annie Perreault,CAN,GOLD,4:36.62,4:36.62
1992,"Albertville, France",3000m Short Track Relay Women,Amy Peterson,USA,SILVER,4:37.85,4:37.85
1992,"Albertville, France",3000m Short Track Relay Women,Cathy Turner,USA,SILVER,4:37.85,4:37.85
1992,"Albertville, France",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,SILVER,4:37.85,4:37.85
1992,"Albertville, France",3000m Short Track Relay Women,Darcie Dohnal,USA,SILVER,4:37.85,4:37.85
1992,"Albertville, France",3000m Short Track Relay Women,Natalya Isakova,URS,BRONZE,4:42.69,4:42.69
1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Allagulova,URS,BRONZE,4:42.69,4:42.69
1992,"Albertville, France",3000m Short Track Relay Women,Viktoriya Taranina,URS,BRONZE,4:42.69,4:42.69
1992,"Albertville, France",3000m Short Track Relay Women,Yuliya Vlasova,URS,BRONZE,4:42.69,4:42.69
1994,"Lillehammer, Norway",500m Men,Aleksandr Golubev,RUS,GOLD,36.33,00:36.33
1994,"Lillehammer, Norway",500m Men,Sergey Klevchenya,RUS,SILVER,36.39,00:36.39
1994,"Lillehammer, Norway",500m Men,Manabu Horii,JPN,BRONZE,36.53,00:36.53
1994,"Lillehammer, Norway",1000m Men,Dan Jansen,USA,GOLD,1:12.43,1:12.43
1994,"Lillehammer, Norway",1000m Men,Igor Zhelezovsky,BLR,SILVER,1:12.72,1:12.72
1994,"Lillehammer, Norway",1000m Men,Sergey Klevchenya,RUS,BRONZE,1:12.85,1:12.85
1994,"Lillehammer, Norway",1500m Men,Johann Koss,NOR,GOLD,1:51.29,1:51.29
1994,"Lillehammer, Norway",1500m Men,Rintje Ritsma,NED,SILVER,1:51.99,1:51.99
1994,"Lillehammer, Norway",1500m Men,Falko Zandstra,NED,BRONZE,1:52.38,1:52.38
1994,"Lillehammer, Norway",5000m Men,Johann Koss,NOR,GOLD,6:34.96,6:34.96
1994,"Lillehammer, Norway",5000m Men,Kjell Storelid,NOR,SILVER,6:42.68,6:42.68
1994,"Lillehammer, Norway",5000m Men,Rintje Ritsma,NED,BRONZE,6:43.94,6:43.94
1994,"Lillehammer, Norway",10000m Men,Johann Koss,NOR,GOLD,13:30.55,13:30.55
1994,"Lillehammer, Norway",10000m Men,Kjell Storelid,NOR,SILVER,13:49.25,13:49.25
1994,"Lillehammer, Norway",10000m Men,Bart Veldkamp,NED,BRONZE,13:56.73,13:56.73
1994,"Lillehammer, Norway",500m Women,Bonnie Blair,USA,GOLD,39.25,00:39.25
1994,"Lillehammer, Norway",500m Women,Susan Auch,CAN,SILVER,39.61,00:39.61
1994,"Lillehammer, Norway",500m Women,Franziska Schenk,GER,BRONZE,39.7,00:39.70
1994,"Lillehammer, Norway",1000m Women,Bonnie Blair,USA,GOLD,1:18.74,1:18.74
1994,"Lillehammer, Norway",1000m Women,Anke Baier-Loef,GER,SILVER,1:20.12,1:20.12
1994,"Lillehammer, Norway",1000m Women,Qiaobo Ye,CHN,BRONZE,1:20.22,1:20.22
1994,"Lillehammer, Norway",1500m Women,Emese Hunyady,AUT,GOLD,2:02.19,2:02.19
1994,"Lillehammer, Norway",1500m Women,Svetlana Fedotkina,RUS,SILVER,2:02.69,2:02.69
1994,"Lillehammer, Norway",1500m Women,Gunda Niemann,GER,BRONZE,2:03.41,2:03.41
1994,"Lillehammer, Norway",3000m Women,Svetlana Bashanova,RUS,GOLD,4:17.43,4:17.43
1994,"Lillehammer, Norway",3000m Women,Emese Hunyady,AUT,SILVER,4:18.14,4:18.14
1994,"Lillehammer, Norway",3000m Women,Claudia Pechstein,GER,BRONZE,4:18.34,4:18.34
1994,"Lillehammer, Norway",5000m Women,Claudia Pechstein,GER,GOLD,7:14.37,7:14.37
1994,"Lillehammer, Norway",5000m Women,Gunda Niemann,GER,SILVER,7:14.88,7:14.88
1994,"Lillehammer, Norway",5000m Women,Hiromi Yamamoto,JPN,BRONZE,7:19.68,7:19.68
1994,"Lillehammer, Norway",500m Short Track Men,Ji-Hoon Chae,KOR,GOLD,43.45,00:43.45
1994,"Lillehammer, Norway",500m Short Track Men,Mirko Vuillermin,ITA,SILVER,43.47,00:43.47
1994,"Lillehammer, Norway",500m Short Track Men,Nicholas Gooch,GBR,BRONZE,43.68,00:43.68
1994,"Lillehammer, Norway",1000m Short Track Men,Ki-Hoon Kim,KOR,GOLD,1:34.57,1:34.57
1994,"Lillehammer, Norway",1000m Short Track Men,Ji-Hoon Chae,KOR,SILVER,1:34.92,1:34.92
1994,"Lillehammer, Norway",1000m Short Track Men,Marc Gagnon,CAN,BRONZE,1:33.03,1:33.03
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Orazio Fagone,ITA,GOLD,7:11.74,7:11.74
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Hugo Herrnhof,ITA,GOLD,7:11.74,7:11.74
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Maurizio Carnino,ITA,GOLD,7:11.74,7:11.74
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Mirko Vuillermin,ITA,GOLD,7:11.74,7:11.74
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Randall Bartz,USA,SILVER,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Eric Flaim,USA,SILVER,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Gabel,USA,SILVER,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,John Coyle,USA,SILVER,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Steven Bradbury,AUS,BRONZE,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Murtha,AUS,BRONZE,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Kieran Hansen,AUS,BRONZE,7:13.68,7:13.68
1994,"Lillehammer, Norway",5000m Short Track Relay Men,Richard Nizielski,AUS,BRONZE,7:13.68,7:13.68
1994,"Lillehammer, Norway",500m Short Track Women,Cathy Turner,USA,GOLD,45.98,00:45.98
1994,"Lillehammer, Norway",500m Short Track Women,Yanmei Zhang,CHN,SILVER,46.44,00:46.44
1994,"Lillehammer, Norway",500m Short Track Women,Amy Peterson,USA,BRONZE,46.76,00:46.76
1994,"Lillehammer, Norway",1000m Short Track Women,Lee-Kyung Chun,KOR,GOLD,1:36.87,1:36.87
1994,"Lillehammer, Norway",1000m Short Track Women,Nathalie Lambert,CAN,SILVER,1:36.97,1:36.97
1994,"Lillehammer, Norway",1000m Short Track Women,So-Hee Kim,KOR,BRONZE,1:37.09,1:37.09
1994,"Lillehammer, Norway",3000m Short Track Relay Women,So-Hee Kim,KOR,GOLD,4:26.64,4:26.64
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Yoon-Mi Kim,KOR,GOLD,4:26.64,4:26.64
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Lee-Kyung Chun,KOR,GOLD,4:26.64,4:26.64
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Hye-Kyung Won,KOR,GOLD,4:26.64,4:26.64
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Isabelle Charest,CAN,SILVER,4:32.04,4:32.04
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Sylvie Daigle,CAN,SILVER,4:32.04,4:32.04
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Christine Boudrias,CAN,SILVER,4:32.04,4:32.04
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nathalie Lambert,CAN,SILVER,4:32.04,4:32.04
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Karen Cashman,USA,BRONZE,4:39.34,4:39.34
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Cathy Turner,USA,BRONZE,4:39.34,4:39.34
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Amy Peterson,USA,BRONZE,4:39.34,4:39.34
1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,BRONZE,4:39.34,4:39.34
1998,"Nagano, Japan",500m Men,Hiroyasu Shimizu,JPN,GOLD,1:11.35,1:11.35
1998,"Nagano, Japan",500m Men,Jeremy Wotherspoon,CAN,SILVER,1:11.84,1:11.84
1998,"Nagano, Japan",500m Men,Kevin Overland,CAN,BRONZE,1:11.86,1:11.86
1998,"Nagano, Japan",1000m Men,Ids Postma,NED,GOLD,1:10.64,1:10.64
1998,"Nagano, Japan",1000m Men,Jan Bos,NED,SILVER,1:10.71,1:10.71
1998,"Nagano, Japan",1000m Men,Hiroyasu Shimizu,JPN,BRONZE,1:11.00,1:11.00
1998,"Nagano, Japan",1500m Men,Ådne Søndrål,NOR,GOLD,1:47.87,1:47.87
1998,"Nagano, Japan",1500m Men,Ids Postma,NED,SILVER,1:48.13,1:48.13
1998,"Nagano, Japan",1500m Men,Rintje Ritsma,NED,BRONZE,1:48.52,1:48.52
1998,"Nagano, Japan",5000m Men,Gianni Romme,NED,GOLD,6:22.20,6:22.20
1998,"Nagano, Japan",5000m Men,Rintje Ritsma,NED,SILVER,6:28.24,6:28.24
1998,"Nagano, Japan",5000m Men,Bart Veldkamp,BEL,BRONZE,6:28.31,6:28.31
1998,"Nagano, Japan",10000m Men,Gianni Romme,NED,GOLD,13:15.33,13:15.33
1998,"Nagano, Japan",10000m Men,Bob de Jong,NED,SILVER,13:25.76,13:25.76
1998,"Nagano, Japan",10000m Men,Rintje Ritsma,NED,BRONZE,13:28.19,13:28.19
1998,"Nagano, Japan",500m Women,Catriona Lemay-Doan,CAN,GOLD,1:16.60,1:16.60
1998,"Nagano, Japan",500m Women,Susan Auch,CAN,SILVER,1:16.93,1:16.93
1998,"Nagano, Japan",500m Women,Tomomi Okazaki,JPN,BRONZE,1:17.10,1:17.10
1998,"Nagano, Japan",1000m Women,Marianne Timmer,NED,GOLD,1:16.51,1:16.51
1998,"Nagano, Japan",1000m Women,Christine Witty,USA,SILVER,1:16.79,1:16.79
1998,"Nagano, Japan",1000m Women,Catriona Lemay-Doan,CAN,BRONZE,1:17.37,1:17.37
1998,"Nagano, Japan",1500m Women,Marianne Timmer,NED,GOLD,1:57.58,1:57.58
1998,"Nagano, Japan",1500m Women,Gunda Niemann,GER,SILVER,1:58.66,1:58.66
1998,"Nagano, Japan",1500m Women,Christine Witty,USA,BRONZE,1:58.97,1:58.97
1998,"Nagano, Japan",3000m Women,Gunda Niemann,GER,GOLD,4:07.29,4:07.29
1998,"Nagano, Japan",3000m Women,Claudia Pechstein,GER,SILVER,4:08.47,4:08.47
1998,"Nagano, Japan",3000m Women,Anna Friesinger,GER,BRONZE,4:09.44,4:09.44
1998,"Nagano, Japan",5000m Women,Claudia Pechstein,GER,GOLD,6:59.61,6:59.61
1998,"Nagano, Japan",5000m Women,Gunda Niemann,GER,SILVER,6:59.65,6:59.65
1998,"Nagano, Japan",5000m Women,Lyudmila Prokasheva,KAZ,BRONZE,7:11.14,7:11.14
1998,"Nagano, Japan",500m Short Track Men,Takafumi Nishitani,JPN,GOLD,42.862,00:42.862
1998,"Nagano, Japan",500m Short Track Men,Yulong An,CHN,SILVER,43.022,00:43.022
1998,"Nagano, Japan",500m Short Track Men,Hitoshi Uematsu,JPN,BRONZE,43.713,00:43.713
1998,"Nagano, Japan",1000m Short Track Men,Dong-Sung Kim,KOR,GOLD,1:32.375,1:32.375
1998,"Nagano, Japan",1000m Short Track Men,Jiajun Li,CHN,SILVER,1:32.428,1:32.428
1998,"Nagano, Japan",1000m Short Track Men,Éric Bédard,CAN,BRONZE,1:32.661,1:32.661
1998,"Nagano, Japan",5000m Short Track Relay Men,Éric Bédard,CAN,GOLD,7:06.075,7:06.075
1998,"Nagano, Japan",5000m Short Track Relay Men,Derrick Campbell,CAN,GOLD,7:06.075,7:06.075
1998,"Nagano, Japan",5000m Short Track Relay Men,Marc Gagnon,CAN,GOLD,7:06.075,7:06.075
1998,"Nagano, Japan",5000m Short Track Relay Men,Francois Drolet,CAN,GOLD,7:06.075,7:06.075
1998,"Nagano, Japan",5000m Short Track Relay Men,Dong-Sung Kim,KOR,SILVER,7:06.776,7:06.776
1998,"Nagano, Japan",5000m Short Track Relay Men,Ji-Hoon Chae,KOR,SILVER,7:06.776,7:06.776
1998,"Nagano, Japan",5000m Short Track Relay Men,Ho-Eung Lee,KOR,SILVER,7:06.776,7:06.776
1998,"Nagano, Japan",5000m Short Track Relay Men,Jun-Hwan Lee,KOR,SILVER,7:06.776,7:06.776
1998,"Nagano, Japan",5000m Short Track Relay Men,Jiajun Li,CHN,BRONZE,7:11.559,7:11.559
1998,"Nagano, Japan",5000m Short Track Relay Men,Yulong An,CHN,BRONZE,7:11.559,7:11.559
1998,"Nagano, Japan",5000m Short Track Relay Men,Kai Feng,CHN,BRONZE,7:11.559,7:11.559
1998,"Nagano, Japan",5000m Short Track Relay Men,Ye Yuan,CHN,BRONZE,7:11.559,7:11.559
1998,"Nagano, Japan",500m Short Track Women,Annie Perreault,CAN,GOLD,46.568,00:46.568
1998,"Nagano, Japan",500m Short Track Women,Yang (S) Yang,CHN,SILVER,46.627,00:46.627
1998,"Nagano, Japan",500m Short Track Women,Lee-Kyung Chun,KOR,BRONZE,46.335,00:46.335
1998,"Nagano, Japan",1000m Short Track Women,Lee-Kyung Chun,KOR,GOLD,1:42.776,1:42.776
1998,"Nagano, Japan",1000m Short Track Women,Yang (S) Yang,CHN,SILVER,1:43.343,1:43.343
1998,"Nagano, Japan",1000m Short Track Women,Hye-Kyung Won,KOR,BRONZE,1:43.361,1:43.361
1998,"Nagano, Japan",3000m Short Track Relay Women,Hye-Kyung Won,KOR,GOLD,4:16.260,4:16.260
1998,"Nagano, Japan",3000m Short Track Relay Women,Lee-Kyung Chun,KOR,GOLD,4:16.260,4:16.260
1998,"Nagano, Japan",3000m Short Track Relay Women,Yoon-Mi Kim,KOR,GOLD,4:16.260,4:16.260
1998,"Nagano, Japan",3000m Short Track Relay Women,Sang-Me An,KOR,GOLD,4:16.260,4:16.260
1998,"Nagano, Japan",3000m Short Track Relay Women,Dandan Sun,CHN,SILVER,4:16.383,4:16.383
1998,"Nagano, Japan",3000m Short Track Relay Women,Yang (S) Yang,CHN,SILVER,4:16.383,4:16.383
1998,"Nagano, Japan",3000m Short Track Relay Women,Yang (A) Yang,CHN,SILVER,4:16.383,4:16.383
1998,"Nagano, Japan",3000m Short Track Relay Women,Chunlu Wang,CHN,SILVER,4:16.383,4:16.383
1998,"Nagano, Japan",3000m Short Track Relay Women,Tania Vicent,CAN,BRONZE,4:21.205,4:21.205
1998,"Nagano, Japan",3000m Short Track Relay Women,Annie Perreault,CAN,BRONZE,4:21.205,4:21.205
1998,"Nagano, Japan",3000m Short Track Relay Women,Isabelle Charest,CAN,BRONZE,4:21.205,4:21.205
1998,"Nagano, Japan",3000m Short Track Relay Women,Christine Boudrias,CAN,BRONZE,4:21.205,4:21.205
2002,"Salt Lake City, United States",500m Men,Casey FitzRandolph,USA,GOLD,69.23,00:69.23
2002,"Salt Lake City, United States",500m Men,Hiroyasu Shimizu,JPN,SILVER,69.26,00:69.26
2002,"Salt Lake City, United States",500m Men,Kip Carpenter,USA,BRONZE,69.47,00:69.47
2002,"Salt Lake City, United States",1000m Men,Gerard van Velde,NED,GOLD,1:07.18,1:07.18
2002,"Salt Lake City, United States",1000m Men,Jan Bos,NED,SILVER,1:07.53,1:07.53
2002,"Salt Lake City, United States",1000m Men,Joey Cheek,USA,BRONZE,1:07.61,1:07.61
2002,"Salt Lake City, United States",1500m Men,Derek Parra,USA,GOLD,1:43.95,1:43.95
2002,"Salt Lake City, United States",1500m Men,Jochem Uytdehaage,NED,SILVER,1:44.57,1:44.57
2002,"Salt Lake City, United States",1500m Men,Ådne Søndrål,NOR,BRONZE,1:45.26,1:45.26
2002,"Salt Lake City, United States",5000m Men,Jochem Uytdehaage,NED,GOLD,6:14.66,6:14.66
2002,"Salt Lake City, United States",5000m Men,Derek Parra,USA,SILVER,6:17.98,6:17.98
2002,"Salt Lake City, United States",5000m Men,Jens Boden,GER,BRONZE,6:21.73,6:21.73
2002,"Salt Lake City, United States",10000m Men,Jochem Uytdehaage,NED,GOLD,12:58.92,12:58.92
2002,"Salt Lake City, United States",10000m Men,Gianni Romme,NED,SILVER,13:10.03,13:10.03
2002,"Salt Lake City, United States",10000m Men,Lasse Sätre,NOR,BRONZE,13:16.92,13:16.92
2002,"Salt Lake City, United States",500m Women,Catriona Lemay-Doan,CAN,GOLD,1:14.75,1:14.75
2002,"Salt Lake City, United States",500m Women,Monique Garbrecht,GER,SILVER,1:14.94,1:14.94
2002,"Salt Lake City, United States",500m Women,Sabine Völker,GER,BRONZE,1:15.19,1:15.19
2002,"Salt Lake City, United States",1000m Women,Christine Witty,USA,GOLD,1:13.83,1:13.83
2002,"Salt Lake City, United States",1000m Women,Sabine Völker,GER,SILVER,1:13.96,1:13.96
2002,"Salt Lake City, United States",1000m Women,Jennifer Rodriguez,USA,BRONZE,1:14.24,1:14.24
2002,"Salt Lake City, United States",1500m Women,Anna Friesinger,GER,GOLD,1:54.02,1:54.02
2002,"Salt Lake City, United States",1500m Women,Sabine Völker,GER,SILVER,1:54.97,1:54.97
2002,"Salt Lake City, United States",1500m Women,Jennifer Rodriguez,USA,BRONZE,1:55.32,1:55.32
2002,"Salt Lake City, United States",3000m Women,Claudia Pechstein,GER,GOLD,3:57.70,3:57.70
2002,"Salt Lake City, United States",3000m Women,Renate Groenevold,NED,SILVER,3:58.94,3:58.94
2002,"Salt Lake City, United States",3000m Women,Cindy Klassen,CAN,BRONZE,3:58.97,3:58.97
2002,"Salt Lake City, United States",5000m Women,Claudia Pechstein,GER,GOLD,6:46.91,6:46.91
2002,"Salt Lake City, United States",5000m Women,Greta Smit,NED,SILVER,6:49.22,6:49.22
2002,"Salt Lake City, United States",5000m Women,Clara Hughes,CAN,BRONZE,6:53.53,6:53.53
2002,"Salt Lake City, United States",500m Short Track Men,Marc Gagnon,CAN,GOLD,41.802,00:41.802
2002,"Salt Lake City, United States",500m Short Track Men,Jonathan Guilmette,CAN,SILVER,41.994,00:41.994
2002,"Salt Lake City, United States",500m Short Track Men,Rusty Smith,USA,BRONZE,42.027,00:42.027
2002,"Salt Lake City, United States",1000m Short Track Men,Steven Bradbury,AUS,GOLD,1:29.109,1:29.109
2002,"Salt Lake City, United States",1000m Short Track Men,Apolo Anton Ohno,USA,SILVER,1:30.160,1:30.160
2002,"Salt Lake City, United States",1000m Short Track Men,Mathieu Turcotte,CAN,BRONZE,1:30.563,1:30.563
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Mathieu Turcotte,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Francois-Louis Tremblay,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jonathan Guilmette,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Marc Gagnon,CAN,GOLD,6:51.579,6:51.579
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Franceschina,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Maurizio Carnino,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Fabio Carta,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Nicola Rodigari,ITA,SILVER,6:56.327,6:56.327
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Kai Feng,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Wei Guo,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Ye Li,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",5000m Short Track Relay Men,Jiajun Li,CHN,BRONZE,6:59.633,6:59.633
2002,"Salt Lake City, United States",1500m Short Track Men,Apolo Anton Ohno,USA,GOLD,2:18.541,2:18.541
2002,"Salt Lake City, United States",1500m Short Track Men,Jiajun Li,CHN,SILVER,2:18.731,2:18.731
2002,"Salt Lake City, United States",1500m Short Track Men,Marc Gagnon,CAN,BRONZE,2:18.806,2:18.806
