,X,Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat,Altitude,minutes,seconds,totalseconds,MedalCode
607,607,2006,"Turin, Italy",5000m Women,Cindy Klassen,CAN,BRONZE,07:00.6,07:00.6,239,420,0.6,420.6,1
618,618,2006,"Turin, Italy",Team Pursuit Women,Galina Likhachova,RUS,BRONZE,,,239,NA,NA,NA,1
619,619,2006,"Turin, Italy",Team Pursuit Women,Yekaterina Lobysheva,RUS,BRONZE,,,239,NA,NA,NA,1
620,620,2006,"Turin, Italy",Team Pursuit Women,Yekaterina Abramova,RUS,BRONZE,,,239,NA,NA,NA,1
621,621,2006,"Turin, Italy",Team Pursuit Women,Varvara Barysheva,RUS,BRONZE,,,239,NA,NA,NA,1
622,622,2006,"Turin, Italy",Team Pursuit Women,Svetlana Vysokova,RUS,BRONZE,,,239,NA,NA,NA,1
625,625,2006,"Turin, Italy",500m Short Track Men,Ahn Hyun-Soo,KOR,BRONZE,42.089,00:42.1,239,0,42.089,42.089,1
628,628,2006,"Turin, Italy",1000m Short Track Men,Apolo Anton Ohno,USA,BRONZE,01:26.9,01:26.9,239,60,26.9,86.9,1
637,637,2006,"Turin, Italy",5000m Short Track Relay Men,Alex Izykowski,USA,BRONZE,06:48.0,06:48.0,239,360,48,408,1
638,638,2006,"Turin, Italy",5000m Short Track Relay Men,J.P. Kepka,USA,BRONZE,06:48.0,06:48.0,239,360,48,408,1
639,639,2006,"Turin, Italy",5000m Short Track Relay Men,Apolo Anton Ohno,USA,BRONZE,06:48.0,06:48.0,239,360,48,408,1
640,640,2006,"Turin, Italy",5000m Short Track Relay Men,Rusty Smith,USA,BRONZE,06:48.0,06:48.0,239,360,48,408,1
643,643,2006,"Turin, Italy",1500m Short Track Men,Jiajun Li,CHN,BRONZE,02:26.0,02:26.0,239,120,26,146,1
646,646,2006,"Turin, Italy",500m Short Track Women,Anouk Leblanc-Boucher,CAN,BRONZE,44.759,00:44.8,239,0,44.759,44.759,1
649,649,2006,"Turin, Italy",1000m Short Track Women,Yang (A) Yang,CHN,BRONZE,01:33.9,01:33.9,239,60,33.9,93.9,1
657,657,2006,"Turin, Italy",3000m Short Track Relay Women,Katia Zini,ITA,BRONZE,04:20.0,04:20.0,239,240,20,260,1
658,658,2006,"Turin, Italy",3000m Short Track Relay Women,Mara Zini,ITA,BRONZE,04:20.0,04:20.0,239,240,20,260,1
659,659,2006,"Turin, Italy",3000m Short Track Relay Women,Marta Capurso,ITA,BRONZE,04:20.0,04:20.0,239,240,20,260,1
660,660,2006,"Turin, Italy",3000m Short Track Relay Women,Arianna Fontana,ITA,BRONZE,04:20.0,04:20.0,239,240,20,260,1
663,663,2006,"Turin, Italy",1500m Short Track Women,Wang Meng,CHN,BRONZE,02:24.5,02:24.5,239,120,24.5,144.5,1
666,666,2010,"Vancouver, Canada",500m Men,Joji Kato,JPN,BRONZE,70.01,01:10.0,21,0,70.01,70.01,1
669,669,2010,"Vancouver, Canada",1000m Men,Chad Hedrick,USA,BRONZE,01:09.3,01:09.3,21,60,9.32,69.32,1
672,672,2010,"Vancouver, Canada",1500m Men,HÃ¥vard BÃ¸kko,NOR,BRONZE,01:46.1,01:46.1,21,60,46.13,106.13,1
675,675,2010,"Vancouver, Canada",5000m,Ivan Skobrev,RUS,BRONZE,06:18.1,06:18.1,21,360,18.05,378.05,1
678,678,2010,"Vancouver, Canada",10000m Men,Bob de Jong,NED,BRONZE,13:06.7,13:06.7,21,780,6.73,786.73,1
686,686,2010,"Vancouver, Canada",Team Pursuit Men,Jan Blokhuijsen,NED,BRONZE,03:40.0,03:40.0,21,180,39.95,219.95,1
687,687,2010,"Vancouver, Canada",Team Pursuit Men,Sven Kramer,NED,BRONZE,03:40.0,03:40.0,21,180,39.95,219.95,1
688,688,2010,"Vancouver, Canada",Team Pursuit Men,Simon Kuipers,NED,BRONZE,03:40.0,03:40.0,21,180,39.95,219.95,1
689,689,2010,"Vancouver, Canada",Team Pursuit Men,Mark Tuitert,NED,BRONZE,03:40.0,03:40.0,21,180,39.95,219.95,1
692,692,2010,"Vancouver, Canada",500m Women,Wang Beixing,CHN,BRONZE,76.63,01:16.6,21,0,76.63,76.63,1
695,695,2010,"Vancouver, Canada",1000m Women,Laurine van Riessen,NED,BRONZE,01:16.7,01:16.7,21,60,16.72,76.72,1
698,698,2010,"Vancouver, Canada",1500m Women,Martina SÃ¡blÃ_kovÃ¡,CZE,BRONZE,01:58.0,01:58.0,21,60,57.96,117.96,1
701,701,2010,"Vancouver, Canada",3000m Women,Kristina Groves,CAN,BRONZE,04:04.8,04:04.8,21,240,4.84,244.84,1
704,704,2010,"Vancouver, Canada",5000m Women,Clara Hughes,GER,BRONZE,06:55.7,06:55.7,21,360,55.73,415.73,1
712,712,2010,"Vancouver, Canada",Team Pursuit Women,Katarzyna Bachleda-CuruÅ›,POL,BRONZE,03:03.7,03:03.7,21,180,3.73,183.73,1
713,713,2010,"Vancouver, Canada",Team Pursuit Women,Katarzyna WoÅºniak,POL,BRONZE,03:03.7,03:03.7,21,180,3.73,183.73,1
714,714,2010,"Vancouver, Canada",Team Pursuit Women,Luiza ZÅ‚otkowska,POL,BRONZE,03:03.7,03:03.7,21,180,3.73,183.73,1
717,717,2010,"Vancouver, Canada",500m Short Track Men,FranÃ§ois-Louis Tremblay,CAN,BRONZE,46.366,00:46.4,21,0,46.366,46.366,1
720,720,2010,"Vancouver, Canada",1000m Short Track Men,Apolo Anton Ohno,USA,BRONZE,01:24.1,01:24.1,21,60,24.128,84.128,1
723,723,2010,"Vancouver, Canada",1500m Short Track Men,J. R. Celski,USA,BRONZE,02:18.1,02:18.1,21,120,18.053,138.053,1
732,732,2010,"Vancouver, Canada",5000m Short Track Relay Men,J.R. Celski,USA,BRONZE,06:44.5,06:44.5,21,360,44.498,404.498,1
733,733,2010,"Vancouver, Canada",5000m Short Track Relay Men,Travis Jayner,USA,BRONZE,06:44.5,06:44.5,21,360,44.498,404.498,1
734,734,2010,"Vancouver, Canada",5000m Short Track Relay Men,Jordan Malone,USA,BRONZE,06:44.5,06:44.5,21,360,44.498,404.498,1
735,735,2010,"Vancouver, Canada",5000m Short Track Relay Men,Apolo Anton Ohno,USA,BRONZE,06:44.5,06:44.5,21,360,44.498,404.498,1
738,738,2010,"Vancouver, Canada",500m Short Track Women,Arianna Fontana,ITA,BRONZE,43.804,00:43.8,21,0,43.804,43.804,1
741,741,2010,"Vancouver, Canada",1000m Short Track Women,Park Seung-Hi,KOR,BRONZE,01:29.4,01:29.4,21,60,29.379,89.379,1
744,744,2010,"Vancouver, Canada",1500m Short Track Women,Park Seung-Hi,KOR,BRONZE,02:17.9,02:17.9,21,120,17.927,137.927,1
753,753,2010,"Vancouver, Canada",3000m Short Track Relay Women,Allison Baver,USA,BRONZE,04:14.1,04:14.1,21,240,14.081,254.081,1
754,754,2010,"Vancouver, Canada",3000m Short Track Relay Women,Alyson Dudek,USA,BRONZE,04:14.1,04:14.1,21,240,14.081,254.081,1
755,755,2010,"Vancouver, Canada",3000m Short Track Relay Women,Lana Gehring,USA,BRONZE,04:14.1,04:14.1,21,240,14.081,254.081,1
756,756,2010,"Vancouver, Canada",3000m Short Track Relay Women,Katherine Reutter,USA,BRONZE,04:14.1,04:14.1,21,240,14.081,254.081,1
2,2,1924,"Chamonix, France",500m Men,Oskar Olsen,NOR,SILVER,44.2,00:44.2,1035,0,44.2,44.2,2
6,6,1924,"Chamonix, France",1500m Men,Roald Larsen,NOR,SILVER,02:22.0,02:22.0,1035,120,22,142,2
9,9,1924,"Chamonix, France",5000m Men,Julius Skutnabb,FIN,SILVER,08:48.0,08:48.0,1035,480,48,528,2
12,12,1924,"Chamonix, France",10000m Men,Clas Thunberg,FIN,SILVER,18:07.0,18:07.0,1035,1080,7,1087,2
15,15,1924,"Chamonix, France",Four-Race Combined,Roald Larsen,NOR,SILVER,9.5,00:09.5,1035,0,9.5,9.5,2
23,23,1928,"St. Moritz, Switzerland",1500m Men,BÃ_la Evensen,NOR,SILVER,02:21.0,02:21.0,1822,120,21,141,2
26,26,1928,"St. Moritz, Switzerland",5000m Men,Julius Skutnabb,FIN,SILVER,08:59.0,08:59.0,1822,480,59,539,2
29,29,1932,"Lake Placid, United States",500m Men,BÃ_la Evensen,NOR,SILVER,,,568,NA,NA,NA,2
32,32,1932,"Lake Placid, United States",1500m Men,Alexander Hurd,CAN,SILVER,,,568,NA,NA,NA,2
35,35,1932,"Lake Placid, United States",5000m Men,Edward Murphy,USA,SILVER,,,568,NA,NA,NA,2
38,38,1932,"Lake Placid, United States",10000m Men,Ivar Ballangrud,NOR,SILVER,,,568,NA,NA,NA,2
41,41,1936,"Garmisch-Partenkirchen, Germany",500m Men,Georg Krog,NOR,SILVER,43.5,00:43.5,708,0,43.5,43.5,2
44,44,1936,"Garmisch-Partenkirchen, Germany",1500m Men,Ivar Ballangrud,NOR,SILVER,02:20.0,02:20.0,708,120,20,140,2
47,47,1936,"Garmisch-Partenkirchen, Germany",5000m Men,Birger Wasenius,FIN,SILVER,08:23.0,08:23.0,708,480,23,503,2
50,50,1936,"Garmisch-Partenkirchen, Germany",10000m Men,Birger Wasenius,FIN,SILVER,17:28.0,17:28.0,708,1020,28,1048,2
53,53,1948,"St. Moritz, Switzerland",500m Men,Ken Bartholomew,USA,SILVER,43.2,00:43.2,1822,0,43.2,43.2,2
54,54,1948,"St. Moritz, Switzerland",500m Men,Thomas Byberg,NOR,SILVER,43.2,00:43.2,1822,0,43.2,43.2,2
55,55,1948,"St. Moritz, Switzerland",500m Men,Robert Fitzgerald,USA,SILVER,43.2,00:43.2,1822,0,43.2,43.2,2
57,57,1948,"St. Moritz, Switzerland",1500m Men,Ã…ke Seyffarth,SWE,SILVER,02:18.0,02:18.0,1822,120,18,138,2
60,60,1948,"St. Moritz, Switzerland",5000m Men,Odd Lundberg,NOR,SILVER,08:32.0,08:32.0,1822,480,32,512,2
63,63,1948,"St. Moritz, Switzerland",10000m Men,Lassi Parkkinen,FIN,SILVER,17:36.0,17:36.0,1822,1020,36,1056,2
66,66,1952,"Oslo, Norway",500m Men,Donald McDermott,USA,SILVER,43.9,00:43.9,204,0,43.9,43.9,2
70,70,1952,"Oslo, Norway",1500m Men,Wim van der Voort,NED,SILVER,02:20.0,02:20.0,204,120,20,140,2
73,73,1952,"Oslo, Norway",5000m Men,Kees Broekman,NED,SILVER,08:21.0,08:21.0,204,480,21,501,2
76,76,1952,"Oslo, Norway",10000m Men,Kees Broekman,NED,SILVER,17:10.0,17:10.0,204,1020,10,1030,2
79,79,1956,"Cortina d'Ampezzo, Italy",500m Men,Rafael Grach,URS,SILVER,40.8,00:40.8,1210,0,40.8,40.8,2
85,85,1956,"Cortina d'Ampezzo, Italy",5000m Men,Sigge Ericsson,SWE,SILVER,07:56.0,07:56.0,1210,420,56,476,2
88,88,1956,"Cortina d'Ampezzo, Italy",10000m Men,Knut Johannesen,NOR,SILVER,16:36.0,16:36.0,1210,960,36,996,2
91,91,1960,"Squaw Valley, United States",500m Men,William Disney,USA,SILVER,40.3,00:40.3,1880,0,40.3,40.3,2
97,97,1960,"Squaw Valley, United States",5000m Men,Knut Johannesen,NOR,SILVER,08:00.0,08:00.0,1880,480,0,480,2
100,100,1960,"Squaw Valley, United States",10000m Men,Viktor Kosichkin,URS,SILVER,15:49.0,15:49.0,1880,900,49,949,2
103,103,1960,"Squaw Valley, United States",500m Women,Natalya Donchenko,URS,SILVER,46,00:46.0,1880,0,46,46,2
106,106,1960,"Squaw Valley, United States",1000m Women,Helga Haase,GER,SILVER,01:34.0,01:34.0,1880,60,34,94,2
109,109,1960,"Squaw Valley, United States",1500m Women,Elvira Seroczynska,POL,SILVER,02:25.0,02:25.0,1880,120,25,145,2
112,112,1960,"Squaw Valley, United States",3000m Women,Valentina Stenina,URS,SILVER,05:16.0,05:16.0,1880,300,16,316,2
115,115,1964,"Innsbruck, Austria",500m Men,Vladimir Orlov,URS,SILVER,40.6,00:40.6,574,0,40.6,40.6,2
116,116,1964,"Innsbruck, Austria",500m Men,Alv Gjestvang,NOR,SILVER,40.6,00:40.6,574,0,40.6,40.6,2
117,117,1964,"Innsbruck, Austria",500m Men,Yevgeny Grishin,URS,SILVER,40.6,00:40.6,574,0,40.6,40.6,2
119,119,1964,"Innsbruck, Austria",1500m Men,Kees Verkerk,NED,SILVER,02:10.0,02:10.0,574,120,10,130,2
122,122,1964,"Innsbruck, Austria",5000m Men,Per Ivar Moe,NOR,SILVER,07:38.0,07:38.0,574,420,38,458,2
125,125,1964,"Innsbruck, Austria",10000m Men,Fred Anton Maier,NOR,SILVER,16:06.0,16:06.0,574,960,6,966,2
128,128,1964,"Innsbruck, Austria",500m Women,Irina Yegorova,URS,SILVER,45.4,00:45.4,574,0,45.4,45.4,2
131,131,1964,"Innsbruck, Austria",1000m Women,Irina Yegorova,URS,SILVER,01:34.0,01:34.0,574,60,34,94,2
134,134,1964,"Innsbruck, Austria",1500m Women,Kaija Mustonen,FIN,SILVER,02:25.0,02:25.0,574,120,25,145,2
137,137,1964,"Innsbruck, Austria",3000m Women,Valentina Stenina,URS,SILVER,05:18.0,05:18.0,574,300,18,318,2
138,138,1964,"Innsbruck, Austria",3000m Women,Pil-Hwa Han,PRK,SILVER,05:18.0,05:18.0,574,300,18,318,2
140,140,1968,"Grenoble, France",500m Men,Terry McDermott,USA,SILVER,40.5,00:40.5,213,0,40.5,40.5,2
141,141,1968,"Grenoble, France",500m Men,Magne Thomassen,NOR,SILVER,40.5,00:40.5,213,0,40.5,40.5,2
143,143,1968,"Grenoble, France",1500m Men,Ard Schenk,NED,SILVER,02:05.0,02:05.0,213,120,5,125,2
144,144,1968,"Grenoble, France",1500m Men,Ivar Eriksen,NOR,SILVER,02:05.0,02:05.0,213,120,5,125,2
146,146,1968,"Grenoble, France",5000m Men,Kees Verkerk,NED,SILVER,07:23.0,07:23.0,213,420,23,443,2
149,149,1968,"Grenoble, France",10000m Men,Fred Anton Maier,NOR,SILVER,15:23.0,15:23.0,213,900,23,923,2
152,152,1968,"Grenoble, France",500m Women,Mary Meyers,USA,SILVER,46.3,00:46.3,213,0,46.3,46.3,2
153,153,1968,"Grenoble, France",500m Women,Dianne Holum,USA,SILVER,46.3,00:46.3,213,0,46.3,46.3,2
154,154,1968,"Grenoble, France",500m Women,Jennifer Fish,USA,SILVER,46.3,00:46.3,213,0,46.3,46.3,2
156,156,1968,"Grenoble, France",1000m Women,Lyudmila Titova,URS,SILVER,01:32.0,01:32.0,213,60,32,92,2
159,159,1968,"Grenoble, France",1500m Women,Carry Geijssen,NED,SILVER,02:22.0,02:22.0,213,120,22,142,2
162,162,1968,"Grenoble, France",3000m Women,Kaija Mustonen,FIN,SILVER,05:01.0,05:01.0,213,300,1,301,2
165,165,1972,"Sapporo, Japan",500m Men,Hasse BÃ¶rjes,SWE,SILVER,39.69,00:39.7,23,0,39.69,39.69,2
168,168,1972,"Sapporo, Japan",1500m Men,Roar GrÃ¸nvold,NOR,SILVER,02:04.3,02:04.3,23,120,4.26,124.26,2
171,171,1972,"Sapporo, Japan",5000m Men,Roar GrÃ¸nvold,NOR,SILVER,07:28.2,07:28.2,23,420,28.18,448.18,2
174,174,1972,"Sapporo, Japan",10000m Men,Kees Verkerk,NED,SILVER,15:04.7,15:04.7,23,900,4.7,904.7,2
177,177,1972,"Sapporo, Japan",500m Women,Vera Krasnova,URS,SILVER,44.01,00:44.0,23,0,44.01,44.01,2
180,180,1972,"Sapporo, Japan",1000m Women,Atje Keulen-Deelstra,NED,SILVER,01:31.6,01:31.6,23,60,31.61,91.61,2
183,183,1972,"Sapporo, Japan",1500m Women,Stien Baas-Kaiser,NED,SILVER,02:21.0,02:21.0,23,120,21.05,141.05,2
186,186,1972,"Sapporo, Japan",3000m Women,Dianne Holum,USA,SILVER,04:58.7,04:58.7,23,240,58.67,298.67,2
189,189,1976,"Innsbruck, Austria",500m Men,Valery Muratov,URS,SILVER,39.25,00:39.3,574,0,39.25,39.25,2
192,192,1976,"Innsbruck, Austria",1000m Men,JÃ¸rn Didriksen,NOR,SILVER,01:20.4,01:20.4,574,60,20.45,80.45,2
195,195,1976,"Innsbruck, Austria",1500m Men,Yuri Kondakov,URS,SILVER,02:00.0,02:00.0,574,60,59.97,119.97,2
198,198,1976,"Innsbruck, Austria",5000m Men,Piet Kleine,NED,SILVER,07:26.5,07:26.5,574,420,26.47,446.47,2
201,201,1976,"Innsbruck, Austria",10000m Men,Sten Stensen,NOR,SILVER,14:53.3,14:53.3,574,840,53.3,893.3,2
204,204,1976,"Innsbruck, Austria",500m Women,Cathy Priestner,CAN,SILVER,43.12,00:43.1,574,0,43.12,43.12,2
207,207,1976,"Innsbruck, Austria",1000m Women,Leah Poulos-Mueller,USA,SILVER,01:28.6,01:28.6,574,60,28.57,88.57,2
210,210,1976,"Innsbruck, Austria",1500m Women,Sheila Young,USA,SILVER,02:17.1,02:17.1,574,120,17.06,137.06,2
213,213,1976,"Innsbruck, Austria",3000m Women,Andrea SchÃ¶ne,GDR,SILVER,04:45.2,04:45.2,574,240,45.23,285.23,2
216,216,1980,"Lake Placid, United States",500m Men,Yevgeny Kulikov,URS,SILVER,38.37,00:38.4,568,0,38.37,38.37,2
219,219,1980,"Lake Placid, United States",1000m Men,GaÃ©tan Boucher,CAN,SILVER,01:16.7,01:16.7,568,60,16.68,76.68,2
223,223,1980,"Lake Placid, United States",1500m Men,Kay Arne Stenshjemmet,NOR,SILVER,01:56.8,01:56.8,568,60,56.81,116.81,2
226,226,1980,"Lake Placid, United States",5000m Men,Kay Arne Stenshjemmet,NOR,SILVER,07:03.3,07:03.3,568,420,3.28,423.28,2
229,229,1980,"Lake Placid, United States",10000m Men,Piet Kleine,NED,SILVER,14:36.0,14:36.0,568,840,36.03,876.03,2
232,232,1980,"Lake Placid, United States",500m Women,Leah Poulos-Mueller,USA,SILVER,42.26,00:42.3,568,0,42.26,42.26,2
235,235,1980,"Lake Placid, United States",1000m Women,Leah Poulos-Mueller,USA,SILVER,01:25.4,01:25.4,568,60,25.41,85.41,2
238,238,1980,"Lake Placid, United States",1500m Women,Ria Visser,NED,SILVER,02:12.4,02:12.4,568,120,12.35,132.35,2
241,241,1980,"Lake Placid, United States",3000m Women,Sabine Becker,GDR,SILVER,04:32.8,04:32.8,568,240,32.79,272.79,2
244,244,1984,"Sarajevo, Yugoslavia",500m Men,Yoshihiro Kitazawa,JPN,SILVER,38.3,00:38.3,500,0,38.3,38.3,2
247,247,1984,"Sarajevo, Yugoslavia",1000m Men,Sergey Khlebnikov,URS,SILVER,01:16.6,01:16.6,500,60,16.63,76.63,2
250,250,1984,"Sarajevo, Yugoslavia",1500m Men,Sergey Khlebnikov,URS,SILVER,01:58.8,01:58.8,500,60,58.83,118.83,2
253,253,1984,"Sarajevo, Yugoslavia",5000m Men,Igor Malkov,URS,SILVER,07:12.3,07:12.3,500,420,12.3,432.3,2
256,256,1984,"Sarajevo, Yugoslavia",10000m Men,Tomas Gustafsson,SWE,SILVER,14:40.0,14:40.0,500,840,39.95,879.95,2
259,259,1984,"Sarajevo, Yugoslavia",500m Women,Karin Enke,GDR,SILVER,41.28,00:41.3,500,0,41.28,41.28,2
262,262,1984,"Sarajevo, Yugoslavia",1000m Women,Andrea SchÃ¶ne,GDR,SILVER,01:22.8,01:22.8,500,60,22.83,82.83,2
265,265,1984,"Sarajevo, Yugoslavia",1500m Women,Andrea SchÃ¶ne,GDR,SILVER,02:05.3,02:05.3,500,120,5.29,125.29,2
268,268,1984,"Sarajevo, Yugoslavia",3000m Women,Karin Enke,GDR,SILVER,04:26.3,04:26.3,500,240,26.33,266.33,2
271,271,1988,"Calgary, Canada",500m Men,Jan Ykema,NED,SILVER,36.76,00:36.8,1048,0,36.76,36.76,2
274,274,1988,"Calgary, Canada",1000m Men,Uwe-Jens Mey,GDR,SILVER,01:13.1,01:13.1,1048,60,13.11,73.11,2
277,277,1988,"Calgary, Canada",1500m Men,Eric Flaim,USA,SILVER,01:52.1,01:52.1,1048,60,52.12,112.12,2
280,280,1988,"Calgary, Canada",5000m Men,Leo Visser,NED,SILVER,06:45.0,06:45.0,1048,360,44.98,404.98,2
283,283,1988,"Calgary, Canada",10000m Men,Michael Hadschieff,AUT,SILVER,13:56.1,13:56.1,1048,780,56.11,836.11,2
286,286,1988,"Calgary, Canada",500m Women,Christa Rothenburger,GDR,SILVER,39.12,00:39.1,1048,0,39.12,39.12,2
289,289,1988,"Calgary, Canada",1000m Women,Karin Enke,GDR,SILVER,01:17.7,01:17.7,1048,60,17.7,77.7,2
292,292,1988,"Calgary, Canada",1500m Women,Karin Enke,GDR,SILVER,02:00.8,02:00.8,1048,120,0.82,120.82,2
295,295,1988,"Calgary, Canada",3000m Women,Andrea SchÃ¶ne,GDR,SILVER,04:12.1,04:12.1,1048,240,12.09,252.09,2
298,298,1988,"Calgary, Canada",5000m Women,Andrea SchÃ¶ne,GDR,SILVER,07:17.1,07:17.1,1048,420,17.12,437.12,2
301,301,1992,"Albertville, France",500m Men,Toshiyuki Kuroiwa,JPN,SILVER,37.18,00:37.2,352,0,37.18,37.18,2
304,304,1992,"Albertville, France",1000m Men,Yoon-Man Kim,KOR,SILVER,01:14.9,01:14.9,352,60,14.86,74.86,2
307,307,1992,"Albertville, France",1500m Men,Ã…dne SÃ¸ndrÃ¥l,NOR,SILVER,01:54.8,01:54.8,352,60,54.85,114.85,2
310,310,1992,"Albertville, France",5000m Men,Falko Zandstra,NED,SILVER,07:02.3,07:02.3,352,420,2.28,422.28,2
313,313,1992,"Albertville, France",10000m Men,Johann Koss,NOR,SILVER,14:14.6,14:14.6,352,840,14.58,854.58,2
316,316,1992,"Albertville, France",500m Women,Qiaobo Ye,CHN,SILVER,40.51,00:40.5,352,0,40.51,40.51,2
319,319,1992,"Albertville, France",1000m Women,Qiaobo Ye,CHN,SILVER,01:21.9,01:21.9,352,60,21.92,81.92,2
322,322,1992,"Albertville, France",1500m Women,Gunda Niemann,GER,SILVER,02:05.9,02:05.9,352,120,5.92,125.92,2
325,325,1992,"Albertville, France",3000m Women,Heike Warnicke,GER,SILVER,04:22.9,04:22.9,352,240,22.88,262.88,2
328,328,1992,"Albertville, France",5000m Women,Heike Warnicke,GER,SILVER,07:37.6,07:37.6,352,420,37.59,457.59,2
331,331,1992,"Albertville, France",1000m Short Track Men,FrÃ©dÃ©ric Blackburn,CAN,SILVER,01:31.1,01:31.1,352,60,31.11,91.11,2
337,337,1992,"Albertville, France",5000m Short Track Relay Men,Sylvain Gagnon,CAN,SILVER,07:14.1,07:14.1,352,420,14.06,434.06,2
338,338,1992,"Albertville, France",5000m Short Track Relay Men,Marck Lackie,CAN,SILVER,07:14.1,07:14.1,352,420,14.06,434.06,2
339,339,1992,"Albertville, France",5000m Short Track Relay Men,FrÃ©dÃ©ric Blackburn,CAN,SILVER,07:14.1,07:14.1,352,420,14.06,434.06,2
340,340,1992,"Albertville, France",5000m Short Track Relay Men,Michel Daignault,CAN,SILVER,07:14.1,07:14.1,352,420,14.06,434.06,2
346,346,1992,"Albertville, France",500m Short Track Women,Yan Li,CHN,SILVER,47.08,00:47.1,352,0,47.08,47.08,2
352,352,1992,"Albertville, France",3000m Short Track Relay Women,Amy Peterson,USA,SILVER,04:37.9,04:37.9,352,240,37.85,277.85,2
353,353,1992,"Albertville, France",3000m Short Track Relay Women,Cathy Turner,USA,SILVER,04:37.9,04:37.9,352,240,37.85,277.85,2
354,354,1992,"Albertville, France",3000m Short Track Relay Women,Nikki Ziegelmeyer,USA,SILVER,04:37.9,04:37.9,352,240,37.85,277.85,2
355,355,1992,"Albertville, France",3000m Short Track Relay Women,Darcie Dohnal,USA,SILVER,04:37.9,04:37.9,352,240,37.85,277.85,2
361,361,1994,"Lillehammer, Norway",500m Men,Sergey Klevchenya,RUS,SILVER,36.39,00:36.4,180,0,36.39,36.39,2
364,364,1994,"Lillehammer, Norway",1000m Men,Igor Zhelezovsky,BLR,SILVER,01:12.7,01:12.7,180,60,12.72,72.72,2
367,367,1994,"Lillehammer, Norway",1500m Men,Rintje Ritsma,NED,SILVER,01:52.0,01:52.0,180,60,51.99,111.99,2
370,370,1994,"Lillehammer, Norway",5000m Men,Kjell Storelid,NOR,SILVER,06:42.7,06:42.7,180,360,42.68,402.68,2
373,373,1994,"Lillehammer, Norway",10000m Men,Kjell Storelid,NOR,SILVER,13:49.2,13:49.2,180,780,49.25,829.25,2
376,376,1994,"Lillehammer, Norway",500m Women,Susan Auch,CAN,SILVER,39.61,00:39.6,180,0,39.61,39.61,2
379,379,1994,"Lillehammer, Norway",1000m Women,Anke Baier-Loef,GER,SILVER,01:20.1,01:20.1,180,60,20.12,80.12,2
382,382,1994,"Lillehammer, Norway",1500m Women,Svetlana Fedotkina,RUS,SILVER,02:02.7,02:02.7,180,120,2.69,122.69,2
385,385,1994,"Lillehammer, Norway",3000m Women,Emese Hunyady,AUT,SILVER,04:18.1,04:18.1,180,240,18.14,258.14,2
388,388,1994,"Lillehammer, Norway",5000m Women,Gunda Niemann,GER,SILVER,07:14.9,07:14.9,180,420,14.88,434.88,2
391,391,1994,"Lillehammer, Norway",500m Short Track Men,Mirko Vuillermin,ITA,SILVER,43.47,00:43.5,180,0,43.47,43.47,2
394,394,1994,"Lillehammer, Norway",1000m Short Track Men,Ji-Hoon Chae,KOR,SILVER,01:34.9,01:34.9,180,60,34.92,94.92,2
400,400,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Randall Bartz,USA,SILVER,07:13.7,07:13.7,180,420,13.68,433.68,2
401,401,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Eric Flaim,USA,SILVER,07:13.7,07:13.7,180,420,13.68,433.68,2
402,402,1994,"Lillehammer, Norway",5000m Short Track Relay Men,Andrew Gabel,USA,SILVER,07:13.7,07:13.7,180,420,13.68,433.68,2
403,403,1994,"Lillehammer, Norway",5000m Short Track Relay Men,John Coyle,USA,SILVER,07:13.7,07:13.7,180,420,13.68,433.68,2
409,409,1994,"Lillehammer, Norway",500m Short Track Women,Yanmei Zhang,CHN,SILVER,46.44,00:46.4,180,0,46.44,46.44,2
412,412,1994,"Lillehammer, Norway",1000m Short Track Women,Nathalie Lambert,CAN,SILVER,01:37.0,01:37.0,180,60,36.97,96.97,2
418,418,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Isabelle Charest,CAN,SILVER,04:32.0,04:32.0,180,240,32.04,272.04,2
419,419,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Sylvie Daigle,CAN,SILVER,04:32.0,04:32.0,180,240,32.04,272.04,2
420,420,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Christine Boudrias,CAN,SILVER,04:32.0,04:32.0,180,240,32.04,272.04,2
421,421,1994,"Lillehammer, Norway",3000m Short Track Relay Women,Nathalie Lambert,CAN,SILVER,04:32.0,04:32.0,180,240,32.04,272.04,2
427,427,1998,"Nagano, Japan",500m Men,Jeremy Wotherspoon,CAN,SILVER,01:11.8,01:11.8,300,60,11.84,71.84,2
430,430,1998,"Nagano, Japan",1000m Men,Jan Bos,NED,SILVER,01:10.7,01:10.7,300,60,10.71,70.71,2
433,433,1998,"Nagano, Japan",1500m Men,Ids Postma,NED,SILVER,01:48.1,01:48.1,300,60,48.13,108.13,2
436,436,1998,"Nagano, Japan",5000m Men,Rintje Ritsma,NED,SILVER,06:28.2,06:28.2,300,360,28.24,388.24,2
439,439,1998,"Nagano, Japan",10000m Men,Bob de Jong,NED,SILVER,13:25.8,13:25.8,300,780,25.76,805.76,2
442,442,1998,"Nagano, Japan",500m Women,Susan Auch,CAN,SILVER,01:16.9,01:16.9,300,60,16.93,76.93,2
